"","item_id","bundle_index1","bundle_index2","premrel","diff","share","filtered_item_share"
"1",16831203027,1,2,23,2,0.0592592592592593,"0.135593220338983"
"2",16831203027,1,3,49,1,0.0592592592592593,"0.101694915254237"
"3",16831203027,1,4,-55,10,0.0518518518518519,"0.0847457627118644"
"4",16831203027,1,5,-41,9,0.0740740740740741,"0.101694915254237"
"5",16831203027,1,6,-42,11,0.0666666666666667,"0.0508474576271186"
"6",16831203027,1,7,17,11,0.0222222222222222,"0.0169491525423729"
"7",16831203027,1,8,85,11,0.525925925925926,"0.305084745762712"
"8",16831203027,2,3,26,1,0.0592592592592593,"0.101694915254237"
"9",16831203027,2,4,-78,8,0.0518518518518519,"0.0847457627118644"
"10",16831203027,2,5,-64,9,0.0740740740740741,"0.101694915254237"
"11",16831203027,2,6,-65,9,0.0666666666666667,"0.0508474576271186"
"12",16831203027,2,7,-6,11,0.0222222222222222,"0.0169491525423729"
"13",16831203027,2,8,62,11,0.525925925925926,"0.305084745762712"
"14",16831203027,3,4,-104,11,0.0518518518518519,"0.0847457627118644"
"15",16831203027,3,5,-90,8,0.0740740740740741,"0.101694915254237"
"16",16831203027,3,6,-91,12,0.0666666666666667,"0.0508474576271186"
"17",16831203027,3,7,-32,10,0.0222222222222222,"0.0169491525423729"
"18",16831203027,3,8,36,12,0.525925925925926,"0.305084745762712"
"19",16831203027,4,5,14,3,0.0740740740740741,"0.101694915254237"
"20",16831203027,4,6,13,5,0.0666666666666667,"0.0508474576271186"
"21",16831203027,4,7,72,7,0.0222222222222222,"0.0169491525423729"
"22",16831203027,4,8,140,7,0.525925925925926,"0.305084745762712"
"23",16831203027,5,6,-1,6,0.0666666666666667,"0.0508474576271186"
"24",16831203027,5,7,58,4,0.0222222222222222,"0.0169491525423729"
"25",16831203027,5,8,126,6,0.525925925925926,"0.305084745762712"
"26",16831203027,6,7,59,2,0.0222222222222222,"0.0169491525423729"
"27",16831203027,6,8,127,2,0.525925925925926,"0.305084745762712"
"28",16831203027,7,8,68,2,0.525925925925926,"0.305084745762712"
"29",18053093587,1,2,75,2,NA,NA
"30",18053093587,1,3,134,8,NA,NA
"31",18053093587,1,4,182,8,NA,NA
"32",18053093587,1,5,-96,11,NA,NA
"33",18053093587,1,6,-58,11,NA,NA
"34",18053093587,1,7,142,11,NA,NA
"35",18053093587,2,3,59,6,NA,NA
"36",18053093587,2,4,107,6,NA,NA
"37",18053093587,2,5,-171,9,NA,NA
"38",18053093587,2,6,-133,9,NA,NA
"39",18053093587,2,7,67,9,NA,NA
"40",18053093587,3,4,48,4,NA,NA
"41",18053093587,3,5,-230,5,NA,NA
"42",18053093587,3,6,-192,7,NA,NA
"43",18053093587,3,7,8,7,NA,NA
"44",18053093587,4,5,-278,5,NA,NA
"45",18053093587,4,6,-240,3,NA,NA
"46",18053093587,4,7,-40,3,NA,NA
"47",18053093587,5,6,38,2,NA,NA
"48",18053093587,5,7,238,4,NA,NA
"49",18053093587,6,7,200,2,NA,NA
"50",18352298789,1,2,115,2,NA,NA
"51",18352298789,1,3,140,3,NA,NA
"52",18352298789,1,4,320,4,NA,NA
"53",18352298789,1,5,121,6,NA,NA
"54",18352298789,1,6,330,6,NA,NA
"55",18352298789,1,7,171,7,NA,NA
"56",18352298789,1,8,380,8,NA,NA
"57",18352298789,2,3,25,1,NA,NA
"58",18352298789,2,4,205,4,NA,NA
"59",18352298789,2,5,6,4,NA,NA
"60",18352298789,2,6,215,6,NA,NA
"61",18352298789,2,7,56,5,NA,NA
"62",18352298789,2,8,265,6,NA,NA
"63",18352298789,3,4,180,3,NA,NA
"64",18352298789,3,5,-19,3,NA,NA
"65",18352298789,3,6,190,5,NA,NA
"66",18352298789,3,7,31,4,NA,NA
"67",18352298789,3,8,240,5,NA,NA
"68",18352298789,4,5,-199,4,NA,NA
"69",18352298789,4,6,10,2,NA,NA
"70",18352298789,4,7,-149,5,NA,NA
"71",18352298789,4,8,60,6,NA,NA
"72",18352298789,5,6,209,4,NA,NA
"73",18352298789,5,7,50,1,NA,NA
"74",18352298789,5,8,259,4,NA,NA
"75",18352298789,6,7,-159,5,NA,NA
"76",18352298789,6,8,50,4,NA,NA
"77",18352298789,7,8,209,3,NA,NA
"78",18820622609,1,2,78,3,NA,NA
"79",18820622609,1,3,103,5,NA,NA
"80",18820622609,2,3,25,4,NA,NA
"81",18999829018,1,2,37,2,0.5,"0.5"
"82",18999829018,1,3,47,2,NA,NA
"83",18999829018,1,4,-20,1,NA,NA
"84",18999829018,1,5,57,3,NA,NA
"85",18999829018,1,6,247,3,NA,NA
"86",18999829018,1,7,42,5,NA,NA
"87",18999829018,1,8,132,7,NA,NA
"88",18999829018,2,3,10,2,NA,NA
"89",18999829018,2,4,-57,3,NA,NA
"90",18999829018,2,5,20,1,NA,NA
"91",18999829018,2,6,210,3,NA,NA
"92",18999829018,2,7,5,3,NA,NA
"93",18999829018,2,8,95,7,NA,NA
"94",18999829018,3,4,-67,3,NA,NA
"95",18999829018,3,5,10,3,NA,NA
"96",18999829018,3,6,200,1,NA,NA
"97",18999829018,3,7,-5,5,NA,NA
"98",18999829018,3,8,85,5,NA,NA
"99",18999829018,4,5,77,2,NA,NA
"100",18999829018,4,6,267,2,NA,NA
"101",18999829018,4,7,62,4,NA,NA
"102",18999829018,4,8,152,6,NA,NA
"103",18999829018,5,6,190,2,NA,NA
"104",18999829018,5,7,-15,2,NA,NA
"105",18999829018,5,8,75,6,NA,NA
"106",18999829018,6,7,-205,4,NA,NA
"107",18999829018,6,8,-115,4,NA,NA
"108",18999829018,7,8,90,4,NA,NA
"109",19999809846,1,2,29,2,0.119047619047619,"0.12"
"110",19999809846,1,3,-81,6,0.0952380952380952,"0.16"
"111",19999809846,1,4,-180,7,0.119047619047619,"0.04"
"112",19999809846,1,5,-206,10,0.0952380952380952,"0.08"
"113",19999809846,1,6,-170,9,0.0476190476190476,"0.08"
"114",19999809846,1,7,-146,12,0.0476190476190476,"0.04"
"115",19999809846,1,8,-98,12,0.0476190476190476,"0.08"
"116",19999809846,2,3,-110,4,0.0952380952380952,"0.16"
"117",19999809846,2,4,-209,9,0.119047619047619,"0.04"
"118",19999809846,2,5,-235,8,0.0952380952380952,"0.08"
"119",19999809846,2,6,-199,11,0.0476190476190476,"0.08"
"120",19999809846,2,7,-175,10,0.0476190476190476,"0.04"
"121",19999809846,2,8,-127,12,0.0476190476190476,"0.08"
"122",19999809846,3,4,-99,5,0.119047619047619,"0.04"
"123",19999809846,3,5,-125,4,0.0952380952380952,"0.08"
"124",19999809846,3,6,-89,7,0.0476190476190476,"0.08"
"125",19999809846,3,7,-65,6,0.0476190476190476,"0.04"
"126",19999809846,3,8,-17,8,0.0476190476190476,"0.08"
"127",19999809846,4,5,-26,3,0.0952380952380952,"0.08"
"128",19999809846,4,6,10,4,0.0476190476190476,"0.08"
"129",19999809846,4,7,34,7,0.0476190476190476,"0.04"
"130",19999809846,4,8,82,7,0.0476190476190476,"0.08"
"131",19999809846,5,6,36,5,0.0476190476190476,"0.08"
"132",19999809846,5,7,60,4,0.0476190476190476,"0.04"
"133",19999809846,5,8,108,6,0.0476190476190476,"0.08"
"134",19999809846,6,7,24,3,0.0476190476190476,"0.04"
"135",19999809846,6,8,72,3,0.0476190476190476,"0.08"
"136",19999809846,7,8,48,2,0.0476190476190476,"0.08"
"137",20167630571,1,2,0,4,0.317757009345794,"0.318181818181818"
"138",20167630571,1,3,29,6,0.214953271028037,"0.212121212121212"
"139",20167630571,1,4,62,8,0.205607476635514,"0.242424242424242"
"140",20167630571,1,5,272,8,0.11214953271028,"0.151515151515152"
"141",20167630571,2,3,29,2,0.214953271028037,"0.212121212121212"
"142",20167630571,2,4,62,4,0.205607476635514,"0.242424242424242"
"143",20167630571,2,5,272,4,0.11214953271028,"0.151515151515152"
"144",20167630571,3,4,33,4,0.205607476635514,"0.242424242424242"
"145",20167630571,3,5,243,4,0.11214953271028,"0.151515151515152"
"146",20167630571,4,5,210,2,0.11214953271028,"0.151515151515152"
"147",20186366493,1,2,0,3,NA,NA
"148",20186366493,1,3,25,3,NA,NA
"149",20186366493,1,4,50,1,NA,NA
"150",20186366493,1,5,60,4,NA,NA
